,vocab,sound,pos,cefr_level,definition
5352,outbreak,ˈaʊt.breɪk,noun,C2,"a time when something suddenly begins, especially a disease or something else dangerous or unpleasant."
5353,outfit,ˈaʊt.fɪt,noun,none,a set of clothes worn for a particular occasion or activity.
5354,outfit,ˈaʊt.fɪt,verb,none,to provide someone or something with equipment or clothes.
5355,outing,ˈaʊ.tɪŋ,noun,none,"a short journey made by a group of people, usually for pleasure or education."
5356,outlet,ˈaʊt.let,noun,none,"a way, especially a pipe or hole, for liquid or gas to go out."
5357,outlook,ˈaʊt.lʊk,noun,C1,the likely future situation.
5358,output,ˈaʊt.pʊt,noun,C2,"an amount of something produced by a person, machine, factory, country, etc.."
5359,outrage,ˈaʊt.reɪdʒ,noun,none,a feeling of anger and shock.
5360,outrage,ˈaʊt.reɪdʒ,verb,none,"(especially of an unfair action or statement) to cause someone to feel very angry, shocked, or upset."
5361,outsider,ˌaʊtˈsaɪ.dər,noun,none,a person who is not involved with a particular group of people or organization or who does not live in a particular place.
5362,outstanding,ˌaʊtˈstæn.dɪŋ,adjective,B2,clearly very much better than what is usual.
5363,overcome,ˌəʊ.vəˈkʌm,verb,B2,to defeat or succeed in controlling or dealing with something.
5364,overlook,ˌəʊ.vəˈlʊk,verb,B2,"to provide a view of, especially from above."
5365,overlook,ˈəʊ.və.lʊk,noun,none,"a place from where a person can look at something, especially at an area of natural beauty."
5366,overly,ˈəʊ.vəl.i,adverb,none,too; very.
5367,overnight,ˌəʊ.vəˈnaɪt,adjective,B1,for or during the night.
5368,overnight,ˌəʊ.vəˈnaɪt,verb,none,to stay somewhere for a night.
5369,overseas,ˌəʊ.vəˈsiːz,adjective,B2,"in, from, or to other countries."
5370,oversee,ˌəʊ.vəˈsiː,verb,none,to watch or organize a job or an activity to make certain that it is being done correctly.
5371,overturn,ˌəʊ.vəˈtɜːn,verb,none,to (cause to) turn over.
5372,overwhelm,ˌəʊ.vəˈwelm,verb,none,to defeat someone or something by using a lot of force.
5373,overwhelming,ˌəʊ.vəˈwel.mɪŋ,adjective,C1,difficult to fight against.
5374,ownership,ˈəʊ.nə.ʃɪp,noun,C1,the fact that you own something.
5375,oxygen,ˈɒk.sɪ.dʒən,noun,B2,"a chemical element that is a gas with no smell or colour. Oxygen forms a large part of the air on earth, and is needed by animals and plants to live.."
5376,packet,ˈpæk.ɪt,noun,B1,a small paper or cardboard container in which a number of small objects are sold.
5377,pad,pæd,noun,none,"a piece of soft, thick cloth or rubber, used to protect a part of the body, give shape to something, or clean something."
5378,pad,pæd,verb,none,"to put pieces of soft material in something to make it soft, give it a different shape, or protect what is inside."
5379,palm,pɑːm,noun,C2,the inside part of your hand from your wrist to the base of your fingers.
5380,palm,pɑːm,verb,none,"to make something seem to disappear by hiding it in the palm of your hand as part of a trick, or to steal something by picking it up in a way that will not be noticed."
5381,panic,ˈpæn.ɪk,noun,B2,a sudden strong feeling of fear that prevents reasonable thought and action.
5382,panic,ˈpæn.ɪk,verb,B2,to suddenly feel so worried or frightened that you cannot think or behave calmly or reasonably.
5383,parade,pəˈreɪd,noun,B2,"a large number of people walking or in vehicles, all going in the same direction, usually as part of a public celebration of something."
5384,parade,pəˈreɪd,verb,none,"(of a group) to walk or march somewhere, usually as part of a public celebration."
5385,parallel,ˈpær.ə.lel,adjective,none,"If two or more lines, streets, etc. are parallel, the distance between them is the same all along their length."
5386,parallel,ˈpær.ə.lel,noun,C2,"something very similar to something else, or a similarity between two things."
5387,parallel,ˈpær.ə.lel,verb,none,"to happen at the same time as something else, or be similar or equal to something else."
5388,parallel,ˈpær.ə.lel,adverb,none,in a position that is always the same distance from something else.
5389,parameter,pəˈræm.ɪ.tər,noun,none,a set of facts or a fixed limit that establishes or limits how something can or must happen or be done.
5390,parental,pəˈren.təl,adjective,none,relating to parents or to being a parent.
5391,parish,ˈpær.ɪʃ,noun,none,"in some Christian denominations, an area cared for by one priest with its own church, or (in England) the smallest unit of local government."
5392,parliamentary,ˌpɑː.lɪˈmen.tər.i,adjective,none,of or relating to a parliament.
5393,part-time,ˌpɑːtˈtaɪm,adverb,B1,"If you work part-time or do part-time work, you work for only some of the day or the week."
5394,partial,ˈpɑː.ʃəl,adjective,B2,not complete.
5395,partial,ˈpɑː.ʃəl,noun,none,one part that makes up a complex musical note (= one that includes different sound waves); an overtone or a harmonic.
5396,partially,ˈpɑː.ʃəl.i,adverb,C1,not completely.
5397,participation,pɑːˌtɪs.ɪˈpeɪ.ʃən,noun,none,the fact that you take part or become involved in something.
5398,partnership,ˈpɑːt.nə.ʃɪp,noun,B2,the state of being a partner.
5399,passing,ˈpɑː.sɪŋ,noun,none,"in sport, the act of kicking, throwing, or hitting the ball to someone in your own team."
5400,passing,ˈpɑː.sɪŋ,adjective,none,moving past.
5401,passionate,ˈpæʃ.ən.ət,adjective,B2,having very strong feelings or emotions.
5402,passive,ˈpæs.ɪv,adjective,B1,"The passive form of a verb is being used when the grammatical subject is the person or thing that experiences the effect of an action, rather than the person or thing that causes the effect."
5403,passive,ˈpæs.ɪv,noun,B1,"the form of a verb used when the grammatical subject is the person or thing that experiences the effect of an action, rather than the person or thing that causes the effect."
5404,password,ˈpɑːs.wɜːd,noun,B1,"a secret word or combination of letters or numbers, used for communicating with another person or with a computer to prove who you are."
5405,pastor,ˈpɑː.stər,noun,none,a religious leader in certain Protestant Churches.
5406,patch,pætʃ,noun,C2,a small area that is different in some way from the area that surrounds it.
5407,patch,pætʃ,verb,none,to connect electronic or phone equipment to a system.
5408,patent,ˈpeɪ.tənt,noun,none,the official legal right to make or sell an invention for a particular number of years.
5409,patent,ˈpeɪ.tənt,verb,none,to get the official legal right to make or sell an invention.
5410,patent,ˈpeɪ.tənt,adjective,none,very obvious.
5411,pathway,ˈpɑːθ.weɪ,noun,none,a track that a person can walk along.
5412,patience,ˈpeɪ.ʃəns,noun,B2,"the ability to wait, or to continue doing something despite difficulties, or to suffer without complaining or becoming annoyed."
5413,patrol,pəˈtrəʊl,verb,none,(especially of soldiers or the police) to go around an area or a building to see if there is any trouble or danger.
5414,patrol,pəˈtrəʊl,noun,none,the act of checking that there is no trouble or danger in a building or area.
5415,patron,ˈpeɪ.trən,noun,none,"a person or group that supports an activity or organization, especially by giving money."
5416,pause,pɔːz,noun,B2,a short period in which something such as a sound or an activity is stopped before starting again.
5417,pause,pɔːz,verb,B1,"to stop doing something for a short time, or to make something stop for a short time."
5418,peak,piːk,noun,B2,"the highest, strongest, or best point, value, or level of skill."
5419,peak,piːk,adjective,none,Peak times are the times when most people are using or doing something.
5420,peak,piːk,verb,none,"to reach the highest, strongest, or best point, value, or level of skill."
5421,peasant,ˈpez.ənt,noun,C1,"a person who owns or rents a small piece of land and grows crops, keeps animals, etc. on it, especially one who has a low income, very little education, and a low social position. This is usually used of someone who lived in the past or of someone in a poor country."
5422,peculiar,pɪˈkjuː.li.ər,adjective,B2,"unusual and strange, sometimes in an unpleasant way."
5423,peer,pɪər,verb,C2,to look carefully or with difficulty.
5424,peer,pɪər,noun,C1,a person who is the same age or has the same social position or the same abilities as other people in a group.
5425,penalty,ˈpen.əl.ti,noun,B2,"a punishment, or the usual punishment, for doing something that is against a law."
5426,perceive,pəˈsiːv,verb,C1,"to come to an opinion about something, or have a belief about something."
5427,perception,pəˈsep.ʃən,noun,C2,"a belief or opinion, often held by many people and based on how things seem."
5428,permanently,ˈpɜː.mə.nənt.li,adverb,B2,always and for ever.
5429,persist,pəˈsɪst,verb,C2,"If an unpleasant feeling or situation persists, it continues to exist."
5430,persistent,pəˈsɪs.tənt,adjective,none,lasting for a long time or difficult to get rid of.
5431,personnel,ˌpɜː.sənˈel,noun,C1,"the people who are employed in a company, organization, or one of the armed forces."
5432,petition,pəˈtɪʃ.ən,noun,none,a document signed by a large number of people demanding or asking for some action from the government or another authority.
5433,petition,pəˈtɪʃ.ən,verb,none,"to make a formal request for something, especially in a law court."
5434,philosopher,fɪˈlɒs.ə.fər,noun,B2,someone who studies or writes about the meaning of life.
5435,philosophical,ˌfɪl.əˈsɒf.ɪ.kəl,adjective,C2,relating to the study or writing of philosophy.
5436,physician,fɪˈzɪʃ.ən,noun,none,"a medical doctor, especially one who has general skill and is not a surgeon."
5437,pill,pɪl,noun,B1,a small solid piece of medicine that a person swallows without chewing (= crushing with the teeth).
5438,pill,pɪl,verb,none,"If a piece of clothing or material pills, it develops small balls of threads on its surface.."
5439,pioneer,ˌpaɪəˈnɪər,noun,C2,a person who is one of the first people to do something.
5440,pioneer,ˌpaɪəˈnɪər,verb,none,to be one of the first people to do something.
5441,pipeline,ˈpaɪp.laɪn,noun,none,"a very long large tube, often underground, through which liquid or gas can flow for long distances."
5442,pirate,ˈpaɪ.rət,noun,B1,a person who sails in a ship and attacks other ships in order to steal from them.
5443,pirate,ˈpaɪ.rət,verb,none,"to illegally copy a computer program, music, a film, etc. and sell it."
5444,pit,pɪt,noun,C2,"a large hole in the ground, or a slightly low area in any surface."
5445,pit,pɪt,verb,none,"US for
stone ."
5446,pity,ˈpɪt.i,noun,B2,a feeling of sadness or sympathy for someone else's unhappiness or difficult situation.
5447,pity,ˈpɪt.i,verb,C2,to feel sadness or sympathy for someone's unhappiness or bad situation.
5448,placement,ˈpleɪs.mənt,noun,none,a temporary position or job in an organization.
5449,plea,pliː,noun,C2,an urgent and emotional request.
5450,plead,pliːd,verb,C2,"to make an urgent, emotional statement or request for something."
5451,pledge,pledʒ,noun,none,"a serious or formal promise, especially one to give money or to be a friend, or something that you give as a sign that you will keep a promise."
5452,pledge,pledʒ,verb,none,to make a serious or formal promise to give or do something.
5453,plug,plʌɡ,noun,B1,"a small plastic or rubber object with two or three metal pins, attached to the end of a wire on a piece of electrical equipment and pushed into a special opening in a wall to connect the equipment to a supply of electricity."
5454,plug,plʌɡ,verb,none,"to advertise something by talking about it a lot or praising it, especially on the radio or television."
5455,plunge,plʌndʒ,verb,C2,"to (cause someone or something to) move or fall suddenly and often a long way forward, down, or into something."
5456,plunge,plʌndʒ,noun,none,"a sudden movement or fall forward, down, or into something."
5457,pole,pəʊl,noun,C2,"a long, thin stick of wood or metal, often used standing straight up in the ground to support things."
5458,poll,pəʊl,noun,none,a study in which people are asked for their opinions about a subject or person.
5459,poll,pəʊl,verb,none,"When a person or a political party polls a particular number of votes in an election, they receive that number."
5460,pond,pɒnd,noun,B2,"an area of water smaller than a lake, often artificially made."
5464,portfolio,ˌpɔːtˈfəʊ.li.əʊ,noun,none,"a large, thin case used for carrying drawings, documents, etc.."
5465,portion,ˈpɔː.ʃən,noun,C1,a part or share of something larger.
5466,portray,pɔːˈtreɪ,verb,C2,"to represent or describe someone or something in a painting, film, book, or other artistic work."
